电影名,英文名,又名,导演/主演,年份/国别/类型,评论人数,评分
超脱,/?Detachment,/?人间师格(台),导演: 托尼·凯耶 Tony Kaye???主演: 艾德里安·布洛迪 Adrien Brody / 马西...,2011?/?美国?/?剧情,207539人评价,8.8
倩女幽魂,/?倩女幽魂(87版)  /  A Chinese Ghost Story,/?死亡“动”新闻(港)  /  恐怖攻击直播(台),导演: 程小东 Siu-Tung Ching???主演: 张国荣 Leslie Cheung / 王祖贤 Joey W...,1987?/?香港?/?剧情 爱情 武侠 古装,308692人评价,8.6
恐怖直播,/?? ?? ???,/?小森食光 / 夏秋篇(台),导演: 金秉祐 Byeong-woo Kim???主演: 河正宇 Jung-woo Ha / 李璟荣 Kyeong-y...,2013?/?韩国?/?剧情 犯罪 悬疑,272034人评价,8.7
小森林 夏秋篇,/?リトル?フォレスト 夏?秋,/?King of Comedy,导演: 森淳一 Junichi Mori???主演: 桥本爱 Ai Hashimoto / 三浦贵大 Takahir...,2014?/?日本?/?剧情,168395人评价,8.9
喜剧之王,/?喜劇之王,/?盗梦侦探  /  帕布莉卡,导演: 周星驰 Stephen Chow / 李力持 Lik-Chi Lee???主演: 周星驰 Stephen Ch...,1999?/?香港?/?喜剧 剧情 爱情,380779人评价,8.6
红辣椒,/?パプリカ,/?Kikujir? no natsu  /  菊次郎的夏天,导演: 今敏 Satoshi Kon???主演: 林原惠美 Megumi Hayashibara / 古谷彻 T...,2006?/?日本?/?动画 悬疑 科幻 惊悚,162438人评价,8.9
菊次郎的夏天,/?菊次郎の夏,/?驯龙记(港),导演: 北野武 Takeshi Kitano???主演: 北野武 Takeshi Kitano / 关口雄介 Yus...,1999?/?日本?/?剧情 喜剧,221785人评价,8.7
驯龙高手,/?How to Train Your Dragon,/?机场客运站(港)  /  航站情缘(台),导演: 迪恩·德布洛斯 Dean DeBlois / 克里斯·桑德斯 Chris Sanders???主演:...,2010?/?美国?/?喜剧 动画 奇幻 冒险,336359人评价,8.7
幸福终点站,/?The Terminal,/?卑鄙的我  /  坏蛋奖门人(港),导演: 史蒂文·斯皮尔伯格 Steven Spielberg???主演: 汤姆·汉克斯 Tom Hanks...,2004?/?美国?/?喜剧 剧情 爱情,259195人评价,8.7
神偷奶爸,/?Despicable Me,/?借物少女艾莉缇(台)  /  借东西的小矮人亚莉亚蒂(港),导演: 皮艾尔·柯芬 Pierre Coffin / 克里斯·雷纳德 Chris Renaud???主演: ...,2010?/?美国 法国?/?喜剧 动画 冒险,451325人评价,8.5
